Value,Type
12.079,Congruent
19.278,Incongruent
16.791,Congruent
18.741,Incongruent
9.564,Congruent
21.214,Incongruent
8.630,Congruent
15.687,Incongruent
14.669,Congruent
22.803,Incongruent
12.238,Congruent
20.878,Incongruent
14.692,Congruent
24.572,Incongruent
8.987,Congruent
17.394,Incongruent
9.401,Congruent
20.762,Incongruent
14.480,Congruent
26.282,Incongruent
22.328,Congruent
24.524,Incongruent
15.298,Congruent
18.644,Incongruent
15.073,Congruent
17.510,Incongruent
16.929,Congruent
20.330,Incongruent
18.200,Congruent
35.255,Incongruent
12.130,Congruent
22.158,Incongruent
18.495,Congruent
25.139,Incongruent
10.639,Congruent
20.429,Incongruent
11.344,Congruent
17.425,Incongruent
12.369,Congruent
34.288,Incongruent
12.944,Congruent
23.894,Incongruent
14.233,Congruent
17.960,Incongruent
19.710,Congruent
22.058,Incongruent
16.004,Congruent
21.157,Incongruent
